state,x,y
Ladakh,-142.0,376.0
J&K,-210.0,344.0
Himachal Pradesh,-146.0,287.0
Punjab,-195.0,262.0
Uttarakhand,-95.0,235.0
Haryana,-172.0,206.0
New Delhi,-149.0,189.0
Uttar Pradesh,-59.0,135.0
Rajasthan,-242.0,141.0
Madhya Pradesh,-128.0,29.0
Gujarat,-307.0,21.0
Diu,-327.0,-42.0
Daman,-269.0,-53.0
Dadra & Nagar Haveli,-262.0,-58.0
Chhattisgarh,-17.0,-18.0
Bihar,82.0,101.0
Jharkhand,70.0,33.0
Odisha,49.0,-50.0
West Bengal,138.0,28.0
Sikkim,156.0,159.0
Assam,275.0,131.0
Arunachal Pradesh,322.0,190.0
Meghalaya,228.0,99.0
Nagaland,323.0,123.0
Manipur,307.0,78.0
Mizoram,278.0,35.0
Tripura,246.0,47.0
Maharashtra,-208.0,-88.0
Goa,-242.0,-202.0
Karnataka,-190.0,-226.0
Telangana,-103.0,-133.0
Andhra Pradesh,-104.0,-217.0
Kerala,-175.0,-347.0
Tamil Nadu,-122.0,-341.0
Lakshadweep,-279.0,-355.0
Andaman and Nicobar Islands,296.0,-276.0
Puducherry,-80.0,-305.0
Chandigarh,-157.0,253.0Temp,-49.0,135.0